"1","Financial Year","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       Other"
"2","Sales/Revenue","39,781.00","27,990.00","35,926.00","12,869.00","5,130.00","51,877.00","34,930.00","52,022.00","36,872.00","27,231.00"
"3","Pretax Income","7,782.00","(6,534.00)","(3,294.00)","(27,479.00)","(28,564.00)","29,160.00","26,180.00","18,125.00","14,818.00","(5,280.00)"
"4","Net Income","6,566.00","(8,226.00)","(3,299.00)","(26,258.00)","(30,497.00)","23,171.00","22,760.00","24,355.00","9,021.00","(5,848.00)"
"5","Cash Only","256,840.00","329,043.00","311,825.00","247,245.00","222,196.00","168,902.00","141,564.00","110,462.00","128,306.00","102,914.00"
"6","Net Property, Plant & Equipment","9,547.00","10,096.00","9,411.00","23,671.00","22,444.00","20,737.00","18,926.00","29,403.00","33,227.00","30,710.00"
"7","Long Term Debt","5,936.00","5,384.00","4,777.00","13,718.00","11,860.00","9,862.00","8,006.00","14,131.00","18,730.00","16,548.00"
"8","Net Operating Cash Flow","(1,250.00)","94,386.00","(3,871.00)","(10,359.00)","(11,805.00)","(27,376.00)","16,238.00","(15,472.00)","473.00","(56,350.00)"
"9","Capital Expenditures","(156.00)","(1,198.00)","(322.00)","(1,724.00)","(1,332.00)","(882.00)","(900.00)","(3,088.00)","(330.00)","(720.00)"
"10","Total Shares Outstanding (million)","304,354.00","304,354.00","304,196.50","304,354.00","304,354.00","304,354.00","304,354.00","263,732.25","263,733.00","263,733.00"
