"1","Financial Year","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4"
"2","Sales/Revenue","190,902.00","111,332.15","137,573.00","149,067.00","11,706.00","119,701.56","84,491.00","45,070.00","90,933.00","76,663.00"
"3","Pretax Income","15,820.00","8,874.58","9,700.00","7,587.00","(16,910.00)","9,356.50","1,552.00","871.00","744.00","(239,186.00)"
"4","Net Income","8,845.00","4,986.26","7,748.00","5,631.00","(13,135.00)","1,530.61","636.00","491.00","699.00","(237,265.00)"
"5","Cash & Short-Term Investments","43,448.00","52,691.68","40,418.00","31,254.00","34,549.00","60,148.46","34,354.00","39,983.00","46,964.00","39,841.00"
"6","Cash Only","13,445.00","11,468.29","21,141.00","15,131.00","14,686.00","28,018.04","10,783.00","4,493.00","12,704.00","6,515.00"
"7","Total Accounts Receivables","469,244.00","453,439.99","490,181.00","650,986.00","614,081.00","392,743.73","410,044.00","442,501.00","444,721.00","319,672.00"
"8","Inventories","12,836.00","13,012.52","13,995.00","14,589.00","13,953.00","11,662.96","15,724.00","14,518.00","14,266.00","13,499.00"
"9","Net Property, Plant & Equipment","103,356.00","106,939.62","106,056.00","105,180.00","106,836.00","108,087.94","107,580.00","105,642.00","106,368.00","104,019.00"
"10","Short Term Debt","28,340.00","31,665.82","21,012.00","9,508.00","11,719.00","21,410.62","16,439.00","15,040.00","15,379.00","25,549.00"
"11","Long Term Debt","65,546.00","148,676.08","147,230.00","143,799.00","137,154.00","118,485.39","122,050.00","119,613.00","116,451.00","100,478.00"
"12","Net Operating Cash Flow","(13,256.00)","(94,182.99)","23,674.00","11,063.00","9,090.00","22,747.03","(9,432.00)","(12,132.00)","12,611.00","(946.00)"
"13","Capital Expenditures","(1,655.00)","(16,096.75)","(2,117.00)","(2,036.00)","(4,613.00)","(4,979.07)","(1,312.00)","(1,698.00)","(4,135.00)","2,023.00"
"14","Total Shares Outstanding (million)","1,155,230.00","1,155,230.20","1,155,230.00","1,155,230.00","1,155,230.00","1,155,230.20","1,155,230.00","1,155,230.00","1,155,230.00","1,180,230.00"
