"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","31-12-2021"
"2","Sales/Revenue","7,861.48","12,648.27","35,897.11","29,073.29","35,361.61","24,334.11","13,067.24","18,848.72","18,075.00","304,273.00"
"3","Pretax Income","(2,212.63)","1,423.37","5,397.74","8,450.09","10,864.50","9,948.01","(3,550.15)","(660.44)","(522.00)","44,680.00"
"4","Net Income","(2,113.85)","740.48","3,660.64","5,415.61","7,652.31","7,977.91","(3,300.65)","(889.89)","(943.00)","30,995.00"
"5","Cash & Short-Term Investments","11,252.79","11,844.27","16,412.67","16,257.03","18,647.54","18,429.57","21,565.39","19,130.69","49,980.00","53,951.00"
"6","Cash Only","2,885.50","3,188.09","-","-","-","-","-","-","-","53,643.00"
"7","Total Accounts Receivables","7,079.32","8,967.11","19,869.98","18,255.67","20,971.28","19,789.08","11,490.61","13,430.85","17,128.00","49,652.00"
"8","Inventories","546.34","834.42","1,037.41","1,124.70","1,261.27","1,162.77","1,238.32","1,662.27","1,816.00","26,027.00"
"9","Net Property, Plant & Equipment","4,841.68","4,504.86","4,124.57","4,005.38","2,024.56","9,747.13","12,644.91","14,636.41","13,704.00","35,107.00"
"10","Accrued Payable","-","-","13,681.93","6,577.97","5,409.07","2,487.51","3,011.93","2,769.93","-","-"
"11","Short Term Debt","293.05","297.10","252.74","345.80","619.11","234.87","559.85","732.47","691.00","609.00"
"12","Long Term Debt","1,089.42","1,027.85","974.49","949.11","328.03","3,333.21","5,972.60","6,500.09","6,207.00","5,674.00"
"13","Net Operating Cash Flow","2,086.03","(1,105.61)","3,244.63","1,180.75","5,137.58","216.10","5,233.54","(2,624.69)","(3,591.00)","14,309.00"
"14","Capital Expenditures","(501.80)","(494.77)","(101.23)","(617.57)","(607.71)","(7,936.69)","(5,315.67)","(435.83)","(93.00)","(22,525.00)"
"15","Total Shares Outstanding (million)","253,042.00","278,332.61","294,559.53","299,721.00","304,335.87","306,454.53","306,454.53","306,454.53","365,678.30","439,428.30"
