"1","Financial Year","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-06-2020","30-06-2021"
"2","Sales/Revenue","7,162.65","6,291.64","27,829.86","24,447.80","24,593.15","25,293.25","29,104.93","22,613.00","25,911.00","31,674.00"
"3","Pretax Income","7,430.97","10,826.40","25,309.62","10,162.40","5,412.53","5,750.70","14,435.64","(1,186.00)","(6,320.00)","61,415.00"
"4","Net Income","6,767.08","10,409.15","8,429.23","4,836.50","2,916.68","1,842.70","6,482.62","(12,303.00)","(2,168.00)","31,034.00"
"5","Cash & Short-Term Investments","44,372.54","44,273.50","220,604.43","240,560.84","253,788.85","270,454.68","265,423.00","267,951.00","228,063.00","237,235.00"
"6","Cash Only","6,407.33","5,871.84","20,067.98","25,276.85","253,788.85","270,454.68","265,423.00","267,951.00","228,063.00","237,235.00"
"7","Total Accounts Receivables","438.12","546.47","982.58","1,687.60","3,089.48","2,032.15","2,138.93","2,583.00","3,229.00","22,324.00"
"8","Inventories","11.19","1.32","58.59","49.81","266.45","47.31","27.39","19.00","29.00","67.00"
"9","Net Property, Plant & Equipment","74,039.61","74,327.29","76,137.12","301,162.64","310,309.06","320,923.80","327,884.89","341,846.00","346,009.00","338,138.00"
"10","Accrued Payable","-","-","-","-","-","-","5,007.40","4,874.00","5,161.00","5,847.00"
"11","Short Term Debt","-","-","-","-","-","-","-","-","105.00","110.00"
"12","Long Term Debt","-","-","-","-","-","-","-","-","2,839.00","2,729.00"
"13","Net Operating Cash Flow","1,428.71","(492.09)","1,450.32","(2,006.73)","(2,928.88)","1,137.79","2,770.20","(7,116.00)","(9,672.00)","(5,956.00)"
"14","Capital Expenditures","(24.74)","(353.59)","(482.94)","(1,585.54)","(9,486.43)","(11,139.22)","(7,575.78)","(8,273.00)","(3,537.00)","(3,012.00)"
"15","Total Shares Outstanding (million)","60,192.00","62,231.44","65,312.88","65,312.88","65,312.88","65,312.88","65,312.94","65,312.94","65,104.74","62,875.68"
