"1","Financial Year","30-09-2019       2","31-12-2019       3","31-03-2020       4","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       4","30-06-2021       1","30-09-2021       2","31-12-2021       3"
"2","Sales/Revenue","210,463.00","279,381.00","253,658.00","170,980.00","220,898.00","205,378.00","276,425.00","202,775.00","234,829.00","351,113.00"
"3","Pretax Income","24,907.00","33,622.00","18,530.00","11,739.00","22,156.00","18,645.00","29,308.00","15,972.00","21,368.00","33,460.00"
"4","Net Income","20,554.00","26,144.00","14,918.00","7,206.00","15,484.00","12,422.00","24,587.00","11,978.00","16,514.00","25,201.00"
"5","Cash & Short-Term Investments","11,838.00","20,608.00","14,792.00","19,402.00","18,041.00","26,875.00","16,107.00","16,621.00","14,981.00","14,116.00"
"6","Cash Only","11,838.00","20,608.00","14,792.00","19,402.00","18,041.00","26,875.00","16,107.00","16,621.00","14,981.00","14,116.00"
"7","Total Accounts Receivables","337,333.00","374,394.00","361,737.00","357,118.00","318,208.00","325,275.00","368,982.00","349,475.00","367,117.00","453,717.00"
"8","Inventories","114,778.00","133,652.00","144,930.00","167,636.00","169,322.00","187,109.00","176,501.00","213,028.00","271,088.00","298,905.00"
"9","Net Property, Plant & Equipment","346,733.00","342,347.00","359,784.00","343,446.00","324,447.00","326,111.00","356,653.00","342,566.00","336,708.00","338,695.00"
"10","Accrued Payable","103,489.00","152,469.00","138,624.00","170,660.00","137,856.00","151,832.00","151,292.00","171,447.00","147,848.00","182,186.00"
"11","Short Term Debt","102,978.00","98,575.00","69,516.00","80,363.00","63,784.00","79,663.00","85,388.00","84,194.00","161,321.00","205,299.00"
"12","Long Term Debt","55,514.00","52,881.00","55,574.00","49,479.00","45,685.00","42,555.00","39,066.00","35,198.00","32,568.00","30,041.00"
"13","Net Operating Cash Flow","36,462.00","32,904.00","28,528.00","4,377.00","62,753.00","18,879.00","779.00","10,821.00","(54,684.00)","(29,643.00)"
"14","Capital Expenditures","(13,491.00)","(16,213.00)","(9,998.00)","(2,662.00)","(11,571.00)","(18,954.00)","(17,261.00)","(979.00)","(8,738.00)","(17,625.00)"
"15","Total Shares Outstanding (million)","135,167.00","135,167.00","135,167.00","135,167.00","135,167.00","135,167.00","135,167.00","135,349.90","135,349.90","135,349.90"
