"1","Financial Year","30-11-2010","30-11-2011","30-11-2012","30-11-2013","31-03-2015","31-03-2016","31-03-2017","30-06-2018","30-06-2019","30-06-2020"
"2","Sales/Revenue","138,930.38","455,988.00","539,936.00","508,186.00","547,626.00","189,459.00","100,826.00","50,174.00","85,599.00","64,934.00"
"3","Pretax Income","1,355.77","3,489.00","4,371.00","2,343.00","(13,567.00)","(35,266.00)","(33,815.00)","(8,905.00)","(2,555.00)","(9,353.00)"
"4","Net Income","497.37","44.00","77.00","98.00","(13,159.00)","(33,904.00)","(33,914.00)","(8,819.00)","(2,766.00)","(8,144.00)"
"5","Cash & Short-Term Investments","21,408.19","47,821.00","49,204.00","25,989.00","18,013.00","8,311.00","8,512.00","9,277.00","14,730.00","3,763.00"
"6","Cash Only","6,546.73","25,318.00","25,231.00","10,950.00","-","-","-","7,716.00","14,730.00","-"
"7","Total Accounts Receivables","38,918.81","56,643.00","129,419.00","93,961.00","80,400.00","36,681.00","34,434.00","25,214.00","25,734.00","16,862.00"
"8","Inventories","8,855.47","12,281.00","8,941.00","4,343.00","4,107.00","2,915.00","1,148.00","245.00","-","2,410.00"
"9","Net Property, Plant & Equipment","24,416.99","29,720.00","29,377.00","26,772.00","41,806.00","33,342.00","8,450.00","5,794.00","9,841.00","11,281.00"
"10","Accrued Payable","-","-","-","-","23,853.00","-","-","-","-","9,528.00"
"11","Short Term Debt","34,990.22","29,970.00","46,363.00","33,095.00","20,998.00","6,193.00","830.00","621.00","-","977.00"
"12","Long Term Debt","1,533.18","1,184.00","1,002.00","1,701.00","1,804.00","1,500.00","465.00","326.00","-","324.00"
"13","Net Operating Cash Flow","12,535.62","(10,328.00)","(12,479.00)","(2,555.00)","18,651.00","5,183.00","(7,712.00)","(6,815.00)","8,625.00","(8,496.00)"
"14","Capital Expenditures","(6,673.55)","(6,506.00)","(10,334.00)","(8,477.00)","(19,580.00)","(267.00)","(829.00)","(1,936.00)","(7,842.00)","(3,791.00)"
"15","Total Shares Outstanding (million)","63,004.00","167,605.00","184,365.00","184,365.00","247,295.00","247,295.00","279,295.00","321,295.00","353,295.00","353,295.00"
