"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","31-12-2021"
"2","Sales/Revenue","85,349.16","74,671.89","89,057.14","84,893.91","84,682.52","88,617.05","62,186.13","50,636.44","62,382.92","93,168.51"
"3","Pretax Income","15,196.06","28,984.29","(7,722.14)","6,901.56","15,388.72","14,663.21","(2,483.98)","(6,073.51)","2,088.15","36,558.53"
"4","Net Income","10,146.87","18,292.03","(3,579.14)","5,261.25","8,670.51","9,477.83","(1,687.35)","(2,566.08)","1,259.22","24,655.27"
"5","Cash & Short-Term Investments","129,902.71","127,658.51","118,345.72","117,122.17","120,095.47","128,866.66","146,989.34","138,410.48","128,457.61","130,312.93"
"6","Cash Only","21,369.11","21,247.38","19,783.64","25,711.76","120,095.47","128,866.66","146,989.34","138,410.48","128,457.61","130,312.93"
"7","Total Accounts Receivables","5,357.39","6,859.25","7,154.62","9,710.95","10,238.19","8,342.58","9,734.65","6,579.00","8,811.28","11,612.29"
"8","Inventories","3,489.80","2,254.18","2,181.19","2,306.71","1,889.85","5,101.47","2,289.53","2,072.34","1,636.84","3,417.32"
"9","Net Property, Plant & Equipment","256,850.80","275,364.32","258,326.60","483,725.07","537,758.34","483,353.11","483,222.57","483,588.66","483,112.97","481,642.31"
"10","Accrued Payable","6,748.24","7,273.02","6,994.18","6,402.84","8,888.54","10,175.01","9,462.63","8,534.88","9,148.22","9,792.87"
"11","Short Term Debt","-","-","-","-","-","-","-","-","-","-"
"12","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"13","Net Operating Cash Flow","21,413.67","8,855.34","5,072.67","(1,567.77)","5,581.96","17,509.48","(793.27)","(4,837.16)","10,658.66","28,677.99"
"14","Capital Expenditures","(4,067.70)","(4,544.13)","(4,924.61)","(3,145.39)","(1,951.11)","(8,180.58)","(7,831.27)","(8,499.99)","(9,289.47)","(6,879.50)"
"15","Total Shares Outstanding (million)","70,202.00","70,201.96","70,201.96","70,201.96","70,201.96","70,201.96","70,201.96","70,201.96","70,201.96","70,201.96"
