"1","Financial Year","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       Other","30-09-2021       Other","31-12-2021       Other"
"2","Sales/Revenue","656,402.00","641,729.00","555,193.00","465,146.00","710,494.00","681,329.00","778,759.00","471,023.00","502,282.00","812,802.00"
"3","Pretax Income","(109,398.00)","(96,627.00)","(55,788.00)","(115,211.00)","(12,877.00)","154,586.00","1,275.00","2,348.00","(62,580.00)","480,283.00"
"4","Net Income","(110,619.00)","(98,831.00)","(57,871.00)","(123,212.00)","(35,451.00)","118,240.00","(9,637.00)","6,391.00","(58,309.00)","469,062.00"
"5","Cash & Short-Term Investments","341,752.00","307,492.00","296,854.00","350,986.00","237,302.00","369,000.00","378,836.00","450,685.00","434,710.00","723,316.00"
"6","Total Accounts Receivables","411,155.00","356,793.00","405,708.00","470,978.00","414,949.00","424,076.00","503,306.00","396,557.00","470,467.00","717,173.00"
"7","Inventories","542,730.00","486,981.00","444,260.00","387,520.00","400,080.00","496,018.00","411,648.00","577,519.00","569,306.00","330,821.00"
"8","Net Property, Plant & Equipment","553,994.00","533,391.00","509,506.00","524,631.00","1,001,449.00","992,130.00","919,359.00","897,788.00","884,406.00","879,601.00"
"9","Accrued Payable","-","-","-","-","740,250.00","792,466.00","750,884.00","909,751.00","981,606.00","806,147.00"
"10","Short Term Debt","185,433.00","177,829.00","156,895.00","133,454.00","144,201.00","149,803.00","146,724.00","129,240.00","132,190.00","156,784.00"
"11","Long Term Debt","42,077.00","40,941.00","39,989.00","62,578.00","84,543.00","81,436.00","77,576.00","74,487.00","71,090.00","57,820.00"
"12","Net Operating Cash Flow","(60,309.00)","(18,822.00)","14,335.00","132,945.00","(52,262.00)","(33,043.00)","12,829.00","91,186.00","75,564.00","(81,951.00)"
"13","Capital Expenditures","(8,438.00)","(6,603.00)","(865.00)","(2,943.00)","(68,850.00)","(16,298.00)","(942.00)","(4,496.00)","1,775.00","(88,426.00)"
"14","Total Shares Outstanding (million)","680,803.70","680,803.70","680,803.70","680,803.70","680,803.70","680,803.70","680,803.70","680,803.70","680,803.70","680,803.70"
