"1","Financial Year","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019       TTM"
"2","Sales/Revenue","1,289,102.00","1,862,381.00","1,967,427.00","2,308,350.00","2,936,727.00","3,062,553.00","4,006,534.00","4,562,005.00","4,571,376.00","4,392,607.00"
"3","Pretax Income","97,955.00","(131,434.00)","38,005.00","(212,060.00)","(605,361.00)","(446,475.00)","260,093.00","186,804.00","(226,661.00)","(324,094.00)"
"4","Net Income","146,602.00","(96,629.00)","33,850.00","(88,267.00)","(519,443.00)","(349,616.00)","210,314.00","98,886.00","(301,482.00)","(489,480.00)"
"5","Cash & Short-Term Investments","356,236.00","113,980.00","173,951.00","262,976.00","127,198.00","310,789.00","422,021.00","432,675.00","297,609.00","340,674.00"
"6","Cash Only","106,434.00","44,740.00","113,553.00","212,089.00","74,937.00","252,347.00","382,406.00","-","241,017.00","201,328.25"
"7","Total Accounts Receivables","73,191.00","63,079.00","81,586.00","106,742.00","155,975.00","304,132.00","419,622.00","520,158.00","117,201.00","407,015.25"
"8","Inventories","524.00","891.00","806.00","993.00","1,362.00","3,985.00","14,151.00","8,518.00","13,257.00","13,221.00"
"9","Net Property, Plant & Equipment","1,508,440.00","1,421,501.00","1,325,822.00","2,275,213.00","1,934,588.00","1,677,613.00","1,568,493.00","1,595,903.00","624,964.00","6,253,170.50"
"10","Accrued Payable","-","-","-","143,481.00","449,168.00","447,457.00","626,993.00","937,815.00","799,794.00","732,464.25"
"11","Short Term Debt","125,535.00","253,551.00","521,045.00","445,880.00","513,245.00","319,477.00","208,238.00","188,528.00","192,324.00","843,375.50"
"12","Long Term Debt","1,097,717.00","1,024,996.00","871,211.00","1,550,373.00","1,066,100.00","1,109,610.00","952,088.00","673,442.00","494,728.00","5,278,813.00"
"13","Net Operating Cash Flow","227,752.00","(137,109.00)","(37,196.00)","189,489.00","(52,558.00)","(13,246.00)","340,736.00","291,395.00","97,866.00","658,520.00"
"14","Capital Expenditures","(655,330.00)","(17,898.00)","(37,289.00)","(1,069,949.00)","(352,461.00)","(37,337.00)","(30,420.00)","(26,629.00)","(9,165.00)","(46,336.00)"
"15","Total Shares Outstanding (million)","331,581.00","331,581.00","331,582.00","2,947,378.72","2,947,378.72","4,148,147.00","4,148,147.00","4,148,148.00","4,148,148.55","4,148,148.00"
