"1","Financial Year","31-12-2019       2","31-03-2020       3","30-06-2020       Other","30-09-2020       Other","30-11-2020       Other","28-02-2021       1","31-05-2021       2","31-08-2021       3","30-11-2021       4","28-02-2022       1"
"2","Sales/Revenue","138,899.00","93,262.00","19,454.00","25,164.00","36,672.66","35,948.00","21,766.00","31,134.00","45,651.46","29,170.00"
"3","Pretax Income","514.00","(9,481.00)","(51,466.00)","(9,901.00)","(49,084.24)","(4,674.00)","(3,746.00)","(20,641.00)","(137,123.10)","(13,679.00)"
"4","Net Income","295.00","(9,722.00)","(51,199.00)","(9,896.00)","(49,139.75)","(4,647.00)","(3,803.00)","(20,574.00)","(139,151.26)","(13,690.00)"
"5","Cash & Short-Term Investments","2,044.00","1,780.00","3,047.00","3,337.00","1,327.99","659.00","113.00","335.00","282.00","262.00"
"6","Cash Only","2,044.00","1,780.00","3,047.00","3,337.00","1,327.99","659.00","113.00","335.00","282.00","262.00"
"7","Total Accounts Receivables","117,178.00","110,051.00","160,001.00","156,765.00","170,848.38","161,155.00","156,833.00","156,005.00","93,096.00","89,477.00"
"8","Inventories","141,759.00","127,251.00","119,247.00","99,379.00","70,384.63","72,592.00","65,292.00","74,170.00","41,566.00","25,458.00"
"9","Net Property, Plant & Equipment","48,679.00","44,687.00","34,625.00","32,064.00","67,174.01","63,315.00","59,746.00","50,943.00","32,646.00","29,745.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","58,295.00"
"11","Short Term Debt","132,081.00","127,374.00","185,554.00","184,432.00","206,301.37","207,096.00","204,488.00","213,600.00","216,227.00","216,131.00"
"12","Long Term Debt","167.00","-","-","-","8,259.28","4,128.00","4,515.00","2,192.00","780.00","553.00"
"13","Net Operating Cash Flow","7,896.00","20,427.00","(60,590.00)","2,650.00","24,570.41","2,830.00","(3,960.00)","(4,484.00)","(1,023.00)","(1,720.00)"
"14","Capital Expenditures","(590.00)","(1,610.00)","(110.00)","(174.00)","(22.98)","(294.00)","(22.00)","(66.00)","(171.00)","-"
"15","Total Shares Outstanding (million)","82,046.11","82,046.11","82,046.11","82,046.11","82,046.11","82,046.11","82,046.11","82,046.11","82,046.11","82,046.11"
