"1","Financial Year","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","",""
"2","Sales/Revenue","46,042.37","43,568.21","75,697.26","78,482.15","44,823.46","128,785.18","144,431.58","240,786.00","",""
"3","Pretax Income","9,999.63","8,616.16","12,137.20","5,976.30","(6,234.14)","(26,363.20)","3,544.42","45,964.00","",""
"4","Net Income","9,941.63","8,563.10","12,134.02","5,904.07","(6,247.44)","(26,101.74)","4,835.84","15,916.00","",""
"5","Cash & Short-Term Investments","10,454.60","6,886.85","10,103.64","6,198.09","19,587.66","16,849.08","21,463.81","117,232.00","",""
"6","Cash Only","1,073.90","848.80","3,905.47","834.03","9,386.04","10,683.90","12,164.37","41,796.00","",""
"7","Total Accounts Receivables","10,467.53","18,546.14","33,317.28","49,860.46","40,861.72","44,667.63","45,238.15","49,191.00","",""
"8","Inventories","1,670.63","2,102.74","2,615.74","4,057.54","5,763.13","23,712.62","20,785.97","27,521.00","",""
"9","Net Property, Plant & Equipment","5,611.66","5,343.71","6,374.94","5,866.88","5,382.44","32,448.58","29,524.08","44,069.00","",""
"10","Accrued Payable","403.62","379.79","1,718.03","2,701.99","-","-","-","-","",""
"11","Short Term Debt","127.06","113.40","74.15","77.48","80.96","2,521.86","430.12","117.00","",""
"12","Long Term Debt","1,760.53","1,586.71","1,434.07","1,294.55","1,154.72","1,760.94","1,583.39","696.00","",""
"13","Net Operating Cash Flow","7,079.67","96.70","10,043.77","(3,211.04)","115.91","(6,856.14)","8,235.63","93,410.00","",""
"14","Capital Expenditures","(127.69)","(314.48)","(1,706.22)","(257.18)","(94.90)","(2,041.50)","(1,442.31)","(19,675.00)","",""
"15","Total Shares Outstanding (million)","336,492.76","336,492.76","336,492.76","336,492.76","398,184.00","511,977.10","511,977.10","616,546.05","511,977.10","386,407.59"
