"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","31-12-2021"
"2","Sales/Revenue","69,490.38","68,937.00","70,249.41","115,174.50","136,647.85","181,501.67","172,526.54","160,992.20","164,013.80","159,603.18"
"3","Pretax Income","40,076.40","36,644.40","40,283.02","60,698.00","62,770.04","69,910.17","79,262.44","35,359.68","73,782.76","68,795.60"
"4","Net Income","40,076.40","36,644.40","40,283.02","60,698.00","62,770.04","69,910.17","73,130.25","29,121.91","72,569.34","70,246.25"
"5","Cash & Short-Term Investments","37,807.51","31,871.19","24,798.94","47,253.91","67,773.13","78,920.46","88,661.72","66,166.71","84,960.76","93,537.91"
"6","Cash Only","8,562.82","6,176.49","8,425.99","6,227.69","10,272.24","3,638.16","5,289.60","3,895.74","3,622.21","4,810.67"
"7","Total Accounts Receivables","1,103.18","547.54","3,984.91","2,772.26","3,676.93","2,418.01","3,264.61","2,661.33","1,236.65","1,718.89"
"8","Net Property, Plant & Equipment","17.20","9.48","17.38","236.58","225.69","172.43","345.13","363.27","268.64","131.63"
"9","Accrued Payable","-","-","-","-","-","-","-","-","-","-"
"10","Short Term Debt","116,819.93","-","-","188,910.26","189,104.18","116,868.45","-","332,697.54","217,836.97","129,992.58"
"11","Long Term Debt","188,661.04","304,887.41","305,113.45","500,811.61","662,462.80","736,584.41","853,704.35","503,018.84","627,139.70","675,656.45"
"12","Net Operating Cash Flow","40,241.19","48,637.01","44,354.29","86,990.29","105,889.15","128,150.16","105,733.96","110,162.61","118,364.72","110,461.24"
"13","Capital Expenditures","(21.90)","-","(16.70)","(233.00)","(47.27)","(16.20)","(249.45)","(174.81)","(119.64)","(35.41)"
"14","Total Shares Outstanding (million)","390,131.00","390,131.00","390,131.00","661,381.00","1,068,000.00","1,068,000.00","1,071,783.00","1,071,783.00","1,071,783.00","1,071,783.00"
