"1","Financial Year","30-09-2012","30-09-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","30-06-2019","30-06-2020","31-12-2020       TTM","31-12-2020       TTM"
"2","Sales/Revenue","201,956.00","298,901.00","949,037.00","592,570.00","622,586.00","310,936.00","355,537.00","221,035.00","147,196.00","147,196.00"
"3","Pretax Income","39,451.00","57,621.00","107,863.00","5,593.00","16,367.00","(216,729.00)","(369,906.00)","24,369.00","15,026.00","15,026.00"
"4","Net Income","33,231.00","41,131.00","80,270.00","18,849.00","14,534.00","(216,704.00)","(383,174.00)","25,030.00","14,760.00","14,760.00"
"5","Cash & Short-Term Investments","40,246.00","56,612.00","248,570.00","185,838.00","220,464.00","132,050.00","89,676.00","95,904.00","130,515.25","130,515.25"
"6","Cash Only","9,208.00","17,125.00","153,200.00","49,979.00","101,701.00","29,205.00","30,677.00","40,762.00","58,557.25","58,557.25"
"7","Total Accounts Receivables","55,050.00","107,386.00","209,090.00","189,087.00","183,724.00","113,837.00","67,729.00","116,640.00","56,498.00","56,498.00"
"8","Inventories","-","-","-","-","10,479.00","5,154.00","5,611.00","4,290.00","4,295.00","4,295.00"
"9","Net Property, Plant & Equipment","319,798.00","305,630.00","302,349.00","299,795.00","400,649.00","297,447.00","98,214.00","86,049.00","85,125.75","85,125.75"
"10","Accrued Payable","-","7,460.00","-","-","-","-","-","9,760.00","784.75","784.75"
"11","Short Term Debt","18,416.00","36,953.00","104,247.00","71,692.00","87,218.00","54,190.00","45,095.00","191,134.00","185,971.25","185,971.25"
"12","Long Term Debt","220,463.00","207,453.00","192,694.00","189,954.00","169,349.00","171,205.00","141,264.00","3,809.00","2,855.75","2,855.75"
"13","Net Operating Cash Flow","70,587.00","15,242.00","62,289.00","40,038.00","68,607.00","(71,828.00)","1,900.00","16,368.00","61,873.00","61,873.00"
"14","Capital Expenditures","(44,816.00)","(4,085.00)","(17,927.00)","(21,202.00)","(27,106.00)","(2,707.00)","(958.00)","-","(87.00)","(87.00)"
"15","Total Shares Outstanding (million)","484,545.00","484,545.00","763,337.00","824,393.00","825,166.00","826,405.00","835,786.00","835,786.00","835,786.00","826,405.00"
