"1","Financial Year","31-10-2019       1","31-01-2020       2","30-04-2020       3","31-07-2020       4","31-10-2020       1","31-01-2021       2","30-04-2021       Other","31-07-2021       Other","31-10-2021       Other","31-12-2021       Other"
"2","Sales/Revenue","94,884.00","84,358.00","78,457.00","72,247.00","93,742.00","84,143.00","91,907.00","106,459.00","136,253.00","93,704.00"
"3","Pretax Income","2,358.00","4,099.00","(5,315.00)","(11,926.00)","5,584.00","5,002.00","7,408.00","22,035.00","27,376.00","41,884.00"
"4","Net Income","508.00","2,201.00","(1,025.00)","(26,751.00)","1,995.00","3,647.00","4,691.00","19,368.00","18,871.00","30,415.00"
"5","Cash & Short-Term Investments","7,985.00","8,411.00","6,437.00","5,034.00","5,525.00","8,474.00","5,540.00","11,818.00","10,032.00","5,623.00"
"6","Cash Only","6,928.00","7,353.00","5,379.00","3,946.00","4,425.00","7,374.00","4,439.00","10,717.00","8,924.00","4,505.00"
"7","Total Accounts Receivables","59,013.00","72,759.00","73,773.00","45,806.00","47,318.00","55,479.00","60,081.00","69,148.00","94,258.00","64,096.00"
"8","Inventories","116,524.00","107,167.00","102,262.00","94,222.00","89,456.00","86,093.00","74,868.00","71,693.00","64,947.00","68,793.00"
"9","Net Property, Plant & Equipment","1,062,851.00","1,064,585.00","1,064,532.00","1,078,932.00","1,073,673.00","1,072,537.00","1,072,009.00","1,065,120.00","1,060,704.00","1,063,630.00"
"10","Accrued Payable","29,790.00","-","-","-","-","-","-","-","-","-"
"11","Short Term Debt","466,119.00","465,145.00","469,825.00","471,430.00","468,896.00","455,283.00","457,679.00","442,418.00","428,308.00","425,505.00"
"12","Long Term Debt","250,808.00","250,492.00","242,780.00","239,741.00","224,591.00","226,295.00","207,646.00","209,113.00","201,636.00","181,277.00"
"13","Net Operating Cash Flow","21,524.00","3,710.00","14,753.00","23,769.00","29,310.00","26,767.00","21,994.00","28,564.00","61,738.00","101,192.00"
"14","Capital Expenditures","(7,463.00)","(19,358.00)","(15,938.00)","(15,450.00)","(8,143.00)","(10,439.00)","(9,374.00)","(4,674.00)","(12,286.00)","(35,024.00)"
"15","Total Shares Outstanding (million)","188,112.00","188,112.00","188,113.00","188,121.00","188,309.00","188,309.00","188,309.00","188,309.00","188,309.00","188,309.00"
