"1","Financial Year","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019"
"2","Sales/Revenue","60,274.32","72,308.83","41,301.52","32,104.22","40,139.74","127,201.26","11,255.07","145,248.00","817.14","10,636.00"
"3","Pretax Income","17,388.14","19,965.43","15,206.67","4,784.88","2,000.43","16,839.78","(29,177.93)","68,622.25","(5,403.76)","(19,464.00)"
"4","Net Income","14,809.88","12,626.95","10,596.89","3,679.45","352.80","11,812.94","(24,394.50)","62,806.13","(20,409.77)","(16,327.00)"
"5","Cash & Short-Term Investments","14,119.19","2,328.18","57,273.91","22,724.36","11,370.01","11,547.02","8,135.91","59,469.59","26,011.55","449.00"
"6","Cash Only","4,827.98","2,097.08","1,337.38","616.95","1,257.28","11,547.02","8,135.91","59,469.59","26,011.55","449.00"
"7","Total Accounts Receivables","63,064.27","90,338.69","33,329.57","60,158.59","61,569.20","74,582.79","23,533.87","17,464.41","6,217.39","3,060.00"
"8","Inventories","5,370.27","2,621.58","2,403.58","3,923.21","107,798.38","155,568.28","106,457.17","106,322.27","129,069.83","552.00"
"9","Net Property, Plant & Equipment","26,735.75","64,526.75","67,552.46","622.34","7,322.52","10,693.65","10,339.67","10,022.09","9,530.14","3,665.00"
"10","Accrued Payable","-","-","-","-","-","46,041.40","35,340.26","14,066.79","14,145.79","17,612.00"
"11","Short Term Debt","3,954.42","4,415.04","6,538.78","6,074.99","6,693.77","13,520.71","43,942.46","45,078.30","15,124.93","4,354.00"
"12","Long Term Debt","2,992.46","20,899.18","24,085.21","21,344.78","51,615.44","91,354.33","66,228.40","6,015.51","19,970.23","4,688.00"
"13","Net Operating Cash Flow","(8,530.46)","13,361.29","59,246.81","(27,694.34)","(32,031.85)","(22,077.35)","(6,686.59)","113,368.03","(21,514.80)","376.00"
"14","Capital Expenditures","(3,165.64)","(38,812.37)","(2,907.09)","(47.33)","(6,553.77)","(3,428.05)","(502.55)","(243.88)","(405.63)","(12.00)"
"15","Total Shares Outstanding (million)","206,756.00","206,756.00","206,756.00","206,756.50","206,756.50","206,756.50","206,756.50","206,756.50","206,756.50","206,756.50"
