"1","Financial Year","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","31-12-2019       TTM","",""
"2","Sales/Revenue","186,204.00","283,847.72","340,650.25","400,079.48","381,523.42","381,360.06","312,653.26","250,589.26","",""
"3","Pretax Income","73,496.00","96,443.09","111,083.20","91,413.66","110,079.04","102,722.40","52,974.45","31,964.45","",""
"4","Net Income","55,563.00","71,295.41","80,936.73","68,351.72","76,012.14","72,568.28","33,315.54","16,314.54","",""
"5","Cash & Short-Term Investments","30,133.00","144,633.14","191,423.14","94,946.58","136,777.50","218,752.47","137,493.77","180,033.69","",""
"6","Cash Only","19,749.00","36,217.68","104,295.89","18,271.60","28,678.48","112,053.10","-","-","",""
"7","Total Accounts Receivables","111,038.00","104,159.69","141,265.74","149,112.76","132,794.03","464,347.61","491,193.64","489,873.91","",""
"8","Inventories","172,854.00","365,055.45","389,255.74","435,551.15","642,116.41","740,436.89","703,544.34","719,348.08","",""
"9","Net Property, Plant & Equipment","4,327.00","4,465.41","4,510.32","11,295.22","12,114.73","12,038.52","11,583.90","11,409.98","",""
"10","Accrued Payable","-","-","-","-","-","-","528,023.44","495,935.36","",""
"11","Short Term Debt","29,497.00","21,497.87","54,712.76","104,738.20","110,462.92","147,961.61","116,621.16","123,927.79","",""
"12","Long Term Debt","44,228.00","104,998.19","103,778.89","101,111.47","281,348.62","398,372.02","358,877.05","350,320.01","",""
"13","Net Operating Cash Flow","(11,135.00)","(27,784.02)","159,867.75","(66,371.91)","33,761.92","(336,493.64)","117,210.40","117,534.40","",""
"14","Capital Expenditures","(52.00)","(226.17)","(350.95)","(7,266.74)","(102.04)","(677.05)","(487.14)","(386.14)","",""
"15","Total Shares Outstanding (million)","516,589.99","680,000.00","706,622.67","713,702.40","819,999.87","1,344,187.61","1,271,278.11","1,264,431.64","819,999.87","490,079.73"
