"1","Financial Year","30-04-2019       Other","31-07-2019       1","31-10-2019       2","31-01-2020       3","30-04-2020       4","31-07-2020       1","31-10-2020       2","31-01-2021       3","30-04-2021       4","31-07-2021       1"
"2","Sales/Revenue","16,206.00","53,508.00","54,842.00","50,336.00","54,912.00","55,289.00","47,565.00","38,896.00","46,793.00","44,657.00"
"3","Pretax Income","(30,428.00)","(12,924.00)","(15,465.00)","(13,358.00)","(23,777.00)","(19,164.00)","83,007.00","(28,569.00)","(4,026.00)","(22,985.00)"
"4","Net Income","(17,652.00)","(8,434.00)","(12,149.00)","(11,038.00)","(18,011.00)","(14,973.00)","56,065.00","(21,764.00)","(10,267.00)","(17,175.00)"
"5","Cash & Short-Term Investments","139,720.00","125,161.00","123,343.00","86,757.00","76,802.00","71,391.00","62,223.00","59,260.00","39,414.00","32,328.00"
"6","Cash Only","-","-","-","-","-","-","-","-","19,379.00","13,518.00"
"7","Total Accounts Receivables","40,120.00","41,412.00","47,357.00","36,130.00","42,330.00","40,276.00","42,286.00","31,516.00","41,111.00","42,210.00"
"8","Inventories","6,890.00","9,242.00","9,366.00","11,707.00","7,044.00","7,059.00","7,778.00","9,233.00","7,148.00","6,684.00"
"9","Net Property, Plant & Equipment","852,024.00","844,758.00","843,451.00","831,277.00","833,275.00","817,183.00","796,793.00","775,848.00","759,670.00","737,182.00"
"10","Accrued Payable","51,316.00","56,788.00","73,569.00","61,790.00","69,665.00","50,281.00","42,444.00","39,310.00","44,456.00","50,427.00"
"11","Short Term Debt","945,426.00","17,554.00","17,766.00","37,060.00","45,194.00","186,389.00","40,846.00","51,173.00","60,202.00","57,266.00"
"12","Long Term Debt","50,702.00","967,933.00","967,482.00","916,051.00","919,295.00","774,948.00","726,819.00","714,485.00","696,565.00","687,262.00"
"13","Net Operating Cash Flow","10,807.00","(11,452.00)","50,630.00","20,188.00","16,447.00","13,312.00","(1,226.00)","7,862.00","(3,689.00)","15,204.00"
"14","Capital Expenditures","(4,487.00)","(9,739.00)","(10,651.00)","(14,857.00)","(15,662.00)","(3,214.00)","(1,330.00)","(538.00)","(667.00)","(1,120.00)"
"15","Total Shares Outstanding (million)","723,878.74","723,878.74","723,878.74","723,878.74","723,878.74","723,879.00","723,879.00","723,879.00","723,879.00","723,879.00"
