"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3","31-12-2021       4"
"2","Sales/Revenue","1,326.00","11,623.58","922.00","1,377.00","11,016.00","1,613.59","1,097.00","1,990.00","3,486.00","4,611.00"
"3","Pretax Income","(2,080.00)","10,096.38","(2,091.00)","(3,240.00)","7,856.00","(1,029.32)","(1,630.00)","(244.00)","(1,033.00)","(15,590.00)"
"4","Net Income","(2,081.00)","8,631.38","(2,092.00)","(3,241.00)","7,855.00","(1,683.74)","(1,631.00)","(245.00)","(1,034.00)","(15,468.00)"
"5","Cash & Short-Term Investments","2,622.00","2,181.00","1,403.00","1,113.00","2,676.00","2,339.00","1,246.00","577.00","991.00","1,291.00"
"6","Cash Only","2,622.00","2,181.00","1,403.00","1,113.00","2,676.00","2,339.00","1,246.00","577.00","991.00","1,291.00"
"7","Total Accounts Receivables","932.00","5,795.00","5,607.00","6,045.00","8,486.00","8,307.00","8,289.00","8,003.00","8,189.00","4,419.00"
"8","Inventories","269.00","344.00","368.00","480.00","500.00","514.00","454.00","473.00","429.00","103.00"
"9","Net Property, Plant & Equipment","248,947.00","246,023.00","246,392.00","246,322.00","247,191.00","249,084.00","248,954.00","249,060.00","249,658.00","269,784.00"
"10","Accrued Payable","18,473.00","16,791.00","20,982.00","22,171.00","18,056.00","18,896.00","19,471.00","19,895.00","21,699.00","21,030.00"
"11","Short Term Debt","3,572.00","3,298.00","3,817.00","3,333.00","3,337.00","3,554.00","3,624.00","3,448.00","3,475.00","2,912.00"
"12","Long Term Debt","26,659.00","21,420.00","20,454.00","21,673.00","22,343.00","23,573.00","23,477.00","23,865.00","24,676.00","25,125.00"
"13","Net Operating Cash Flow","101.00","1,405.00","2,914.00","(953.00)","2,876.00","27.00","(441.00)","(18.00)","966.00","2,552.00"
"14","Capital Expenditures","(2,954.00)","(2,416.00)","(2,416.00)","(72.00)","(1,987.00)","(2,202.00)","(632.00)","(862.00)","(1,212.00)","(2,104.00)"
"15","Total Shares Outstanding (million)","70,000.00","70,000.00","71,789.00","70,000.00","70,000.00","70,000.00","70,000.00","70,000.00","70,000.00","70,000.00"
