"1","Financial Year","30-06-2009","30-06-2010","30-06-2011","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018"
"2","Sales/Revenue","93,079.00","91,073.96","118,560.39","123,890.33","167,133.98","281,944.98","398,740.49","301,033.75","222,153.92","305,009.19"
"3","Pretax Income","6,158.00","3,625.04","9,910.68","12,300.28","20,924.22","43,807.41","48,118.05","37,920.89","21,050.79","50,245.22"
"4","Net Income","3,607.00","2,121.05","5,981.73","7,992.06","15,803.86","30,692.34","33,920.61","25,681.23","9,796.75","27,833.84"
"5","Cash & Short-Term Investments","3,998.00","9,147.18","8,260.60","21,747.53","22,454.28","21,884.42","28,099.06","21,944.38","22,589.22","22,237.62"
"6","Cash Only","3,998.00","9,147.18","6,760.60","19,617.62","19,905.28","19,024.61","25,194.49","21,944.38","22,589.22","22,237.62"
"7","Total Accounts Receivables","80,684.00","78,495.11","99,582.32","49,036.51","57,145.63","117,887.97","80,741.98","83,568.73","104,231.16","119,046.69"
"8","Inventories","54,092.00","46,176.29","39,278.96","70,320.32","65,183.83","577,873.26","798,557.84","771,385.71","798,184.51","722,734.33"
"9","Net Property, Plant & Equipment","76,098.00","76,057.65","79,038.61","85,315.10","90,066.14","65,521.44","66,278.37","62,797.22","60,986.60","57,632.83"
"10","Accrued Payable","3,247.00","2,842.62","4,206.23","22,023.66","6,746.76","37,122.50","53,729.56","219,567.79","230,795.69","239,624.92"
"11","Short Term Debt","76,360.00","59,260.39","89,769.59","145,979.60","177,666.45","180,336.46","175,072.74","-","211,321.17","243,397.55"
"12","Long Term Debt","25,489.00","71,404.52","104,496.52","158,346.83","164,125.29","154,251.93","204,145.11","311,434.45","263,849.98","234,118.70"
"13","Net Operating Cash Flow","5,262.00","22,146.46","(45,917.19)","(84,138.04)","(23,323.78)","38,042.92","(7,724.04)","(2,832.12)","12,196.59","31,691.92"
"14","Capital Expenditures","(870.00)","(2,161.29)","(1,446.65)","(844.70)","(4,850.65)","(2,784.90)","(3,399.41)","(751.78)","(1,019.62)","(305.17)"
"15","Total Shares Outstanding (million)","403,719.00","403,455.00","400,481.00","400,477.00","400,473.00","400,469.00","400,465.00","400,461.80","400,360.80","400,358.80"
