"1","Financial Year","30-06-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018"
"2","Sales/Revenue","195,739.00","380,880.00","342,180.00","1,275,489.00","1,491,325.00","1,226,464.00","1,268,484.00","1,497,018.00","1,535,204.00","1,862,715.00"
"3","Pretax Income","48,853.00","97,370.00","101,418.00","125,458.00","179,304.00","186,697.00","204,210.00","220,978.00","253,653.00","337,004.00"
"4","Net Income","39,394.00","56,346.00","76,785.00","101,245.00","138,999.00","140,521.00","155,977.00","176,282.00","206,699.00","294,924.00"
"5","Cash Only","7,596.00","2,691.00","8,226.00","452,252.00","82,388.00","38,790.00","36,698.00","167,256.00","83,986.00","57,402.00"
"6","Net Property, Plant & Equipment","43,612.00","38,964.00","46,499.00","286,534.00","240,935.00","256,100.00","271,398.00","274,792.00","273,156.00","277,164.00"
"7","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"8","Net Operating Cash Flow","(144,296.00)","(26,564.00)","705,530.00","739,059.00","328,219.00","170,111.00","208,123.00","321,323.00","130,266.00","284,009.00"
"9","Capital Expenditures","(4,845.00)","(7,948.00)","(13,155.00)","(7,474.00)","(7,522.00)","(20,968.00)","(73,250.00)","(6,137.00)","(20,004.00)","(82,372.00)"
"10","Total Shares Outstanding (million)","814,085.00","814,085.00","814,085.00","814,085.00","814,085.00","815,030.00","815,836.00","820,943.86","823,145.00","824,219.00"
