"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","4,121.00","7,454.00","611.00","6,929.00","667.00","6,892.00","16,659.00","8,453.00","615.00","13,356.00"
"3","Pretax Income","38.00","(11,199.00)","11,433.00","4,249.00","(2,072.00)","1,623.00","(3,930.00)","(1,670.00)","(1,345.00)","(2,451.00)"
"4","Net Income","30.00","(11,262.00)","11,470.00","4,280.00","(2,072.00)","1,253.00","(6,131.00)","(2,116.00)","(1,345.00)","(2,451.00)"
"5","Cash & Short-Term Investments","745.00","942.00","733.00","503.00","732.00","1,634.00","660.00","12,873.00","475.00","9,815.00"
"6","Cash Only","745.00","942.00","733.00","503.00","732.00","1,634.00","660.00","12,873.00","475.00","9,815.00"
"7","Total Accounts Receivables","17,677.00","15,628.00","11,536.00","15,719.00","9,655.00","5,295.00","6,239.00","4,380.00","(609.00)","1,860.00"
"8","Inventories","40,467.00","39,243.00","39,371.00","38,988.00","38,989.00","45,541.00","38,989.00","19,995.00","19,996.00","19,995.00"
"9","Net Property, Plant & Equipment","21,597.00","19,788.00","21,148.00","20,723.00","20,366.00","20,196.00","19,847.00","19,300.00","14,192.00","13,875.00"
"10","Short Term Debt","25,367.00","16,768.00","25,127.00","25,487.00","27,612.00","28,076.00","28,333.00","14,066.00","14,189.00","14,197.00"
"11","Long Term Debt","7,061.00","15,200.00","6,255.00","5,780.00","3,637.00","3,707.00","3,752.00","734.00","734.00","734.00"
"12","Net Operating Cash Flow","(755.00)","(2,783.00)","3,514.00","4,307.00","(21.00)","736.00","(1,288.00)","(21,512.00)","(12,438.00)","712.00"
"13","Capital Expenditures","-","-","(32.00)","(228.00)","-","(193.00)","-","193.00","-","-"
"14","Total Shares Outstanding (million)","482,991.89","579,590.19","579,590.19","579,590.19","579,590.00","579,590.00","579,590.00","619,590.19","753,479.55","904,175.46"
