"1","Financial Year","30-06-2019       Other","30-09-2019       Other","31-12-2019       1","31-03-2020       2","30-06-2020       3","30-09-2020       4","31-12-2020       1","31-03-2021       2","30-06-2021       3","30-09-2021       4"
"2","Sales/Revenue","3,316.54","2,055.02","4,005.22","3,012.36","1,016.84","2,023.62","2,192.91","2,303.17","2,799.35","711.41"
"3","Pretax Income","265.51","(5,464.89)","118.21","(543.25)","(2,465.15)","(3,809.53)","(797.15)","(876.70)","(820.29)","(2,636.26)"
"4","Net Income","265.51","(5,607.68)","118.21","(543.25)","(2,465.15)","(3,805.15)","(797.15)","(876.70)","(820.29)","(2,636.26)"
"5","Cash & Short-Term Investments","616.17","1,501.97","1,789.61","1,732.86","2,175.64","5,590.01","3,991.20","3,975.92","2,658.78","3,493.00"
"6","Cash Only","616.17","1,501.97","1,789.61","1,732.86","2,175.64","5,590.01","3,991.20","3,975.92","2,658.78","3,493.00"
"7","Total Accounts Receivables","12,714.77","7,558.57","7,381.56","7,054.54","3,780.89","4,699.62","4,987.08","6,425.40","7,730.94","4,048.42"
"8","Inventories","8,906.15","6,130.20","5,997.89","5,835.73","6,986.87","5,936.39","6,206.42","6,631.42","6,385.45","6,304.31"
"9","Net Property, Plant & Equipment","11,028.85","11,034.21","10,666.40","10,302.59","10,103.68","14,133.36","13,911.33","13,435.80","14,045.84","13,452.25"
"10","Short Term Debt","-","-","-","-","-","237.95","388.71","391.45","876.19","909.70"
"11","Long Term Debt","-","-","-","-","-","4,508.08","4,470.06","4,395.65","4,915.54","4,677.66"
"12","Net Operating Cash Flow","1,122.95","297.09","320.13","4.20","467.95","(3,630.95)","(1,694.44)","(1,572.05)","(1,071.64)","1,011.60"
"13","Capital Expenditures","(2,128.85)","(856.75)","-","-","(181.91)","-","(57.87)","(8.55)","-","-"
"14","Total Shares Outstanding (million)","176,039.79","176,060.79","176,060.79","176,060.79","176,060.79","243,665.39","246,787.39","260,153.59","260,305.59","260,305.59"
