"1","Financial Year","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1"
"2","Sales/Revenue","24,777.32","25,544.93","25,584.93","25,622.77","25,896.35","26,446.97","26,267.18","26,717.83","26,678.31","28,160.82"
"3","Pretax Income","38,879.49","16,742.20","15,444.92","15,139.60","44,964.94","15,963.31","15,222.13","16,128.38","28,834.20","15,505.25"
"4","Net Income","37,978.76","16,742.55","15,444.92","15,139.60","44,047.39","15,963.31","15,222.13","16,128.38","28,847.92","15,505.25"
"5","Cash & Short-Term Investments","86,949.55","74,435.14","87,130.58","94,796.85","91,348.99","80,587.28","89,816.75","93,564.91","87,753.82","74,625.37"
"6","Cash Only","35,917.28","38,463.81","36,801.14","45,292.68","45,680.60","80,587.28","89,816.75","93,564.91","43,470.68","47,193.65"
"7","Total Accounts Receivables","9,772.20","8,389.08","7,481.23","7,807.95","3,392.62","7,014.33","6,666.84","12,466.93","16,784.12","22,124.91"
"8","Short Term Debt","573,580.63","573,847.85","-","-","-","-","-","-","29,796.53","29,824.75"
"9","Long Term Debt","-","-","572,767.01","573,462.60","603,705.13","604,136.98","603,882.62","604,292.67","653,639.06","654,053.90"
"10","Net Operating Cash Flow","22,666.88","23,861.57","17,627.09","31,738.65","(15,273.74)","13,372.07","15,371.25","19,496.98","35,459.03","12,344.39"
"11","Capital Expenditures","-","-","-","-","-","-","-","-","-","-"
"12","Total Shares Outstanding (million)","728,226.47","728,226.47","728,226.47","728,226.47","735,985.09","735,985.09","735,985.09","735,985.09","735,985.09","735,985.09"
