"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018"
"2","Sales/Revenue","702,920.42","933,880.38","1,103,799.99","1,088,370.00","1,044,864.00","1,051,572.00","1,124,852.00","1,217,754.00","1,448,451.00","1,544,260.00"
"3","Pretax Income","25,634.21","54,287.38","38,867.04","30,074.00","51,948.00","34,699.00","41,142.00","31,486.00","65,375.00","100,872.00"
"4","Net Income","37,071.49","36,009.93","51,736.24","16,015.00","43,226.00","21,759.00","26,255.00","18,807.00","58,766.00","77,534.00"
"5","Cash & Short-Term Investments","26,227.70","42,931.96","63,330.95","66,566.00","80,803.00","107,350.00","98,157.00","91,130.00","96,751.00","99,037.00"
"6","Cash Only","21,791.58","32,768.58","51,728.01","46,882.00","56,333.00","83,371.00","76,982.00","68,135.00","72,164.00","76,034.00"
"7","Total Accounts Receivables","152,341.58","183,950.66","193,221.01","210,801.00","188,103.00","201,731.00","229,497.00","243,695.00","324,387.00","280,400.00"
"8","Inventories","115,500.53","137,866.53","190,999.87","183,619.00","175,479.00","184,454.00","170,747.00","200,832.00","258,945.00","298,256.00"
"9","Net Property, Plant & Equipment","543,188.90","696,457.14","743,786.29","740,456.00","977,637.00","1,007,607.00","999,878.00","1,021,947.00","1,148,442.00","1,208,687.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","-"
"11","Short Term Debt","260,450.72","289,682.73","347,990.32","357,564.00","372,220.00","417,266.00","413,805.00","439,316.00","508,136.00","495,021.00"
"12","Long Term Debt","36,330.65","150,275.01","163,475.39","142,067.00","130,247.00","139,216.00","104,071.00","88,012.00","109,977.00","136,068.00"
"13","Net Operating Cash Flow","65,156.60","70,138.49","60,257.59","84,147.00","92,855.00","72,865.00","80,615.00","87,621.00","86,204.00","99,337.00"
"14","Capital Expenditures","(63,674.28)","(155,175.86)","(92,955.36)","(57,126.00)","(78,459.00)","(70,457.00)","(33,981.00)","(85,789.00)","(74,589.00)","(98,404.00)"
"15","Total Shares Outstanding (million)","293,102.00","299,537.00","301,645.00","303,686.00","305,051.00","305,051.00","305,051.00","305,051.00","305,051.00","305,051.00"
