"1","Financial Year","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","31-12-2021       TTM","",""
"2","Sales/Revenue","9,577.59","20,874.26","45,091.05","80,031.02","87,525.55","112,442.00","",""
"3","Pretax Income","(4,114.21)","593.64","5,157.04","11,283.06","16,424.10","17,031.00","",""
"4","Net Income","(3,674.29)","1,015.96","3,255.27","9,678.20","11,759.90","10,760.00","",""
"5","Cash & Short-Term Investments","4,236.90","3,122.58","4,610.45","9,650.10","32,553.07","27,859.25","",""
"6","Cash Only","2,447.63","411.03","1,722.95","2,388.40","1,895.72","9,854.00","",""
"7","Total Accounts Receivables","6,040.72","8,918.30","14,405.93","28,294.78","7,005.69","16,706.25","",""
"8","Inventories","2,572.56","3,443.98","5,380.60","11,280.14","13,197.67","12,391.75","",""
"9","Net Property, Plant & Equipment","11,564.19","9,969.00","10,187.20","19,266.55","23,527.62","27,224.75","",""
"10","Short Term Debt","1,523.64","2,665.62","2,453.67","1,822.48","1,148.82","1,244.50","",""
"11","Long Term Debt","4,866.50","3,780.84","3,686.31","9,693.07","7,386.16","6,723.75","",""
"12","Net Operating Cash Flow","(3,300.23)","132.53","3,330.12","13,537.86","11,259.03","13,112.00","",""
"13","Capital Expenditures","(493.68)","(1,594.95)","(1,700.88)","(17,103.24)","(6,400.74)","(9,311.00)","",""
"14","Total Shares Outstanding (million)","227,874.00","227,874.00","227,874.00","227,874.00","285,000.00","290,445.00","227,874.00","1,079,606.32"
