"1","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020"
"2","Sales/Revenue","875.15","813.08","135,716.25","130,388.77","84,790.68","93,578.53","143,622.82","154,410.38","139,517.03","158,999.41"
"3","Pretax Income","(188.96)","(116.80)","8,755.01","6,756.44","(22,414.85)","2,564.03","10,890.78","2,595.39","(10,971.14)","11,425.89"
"4","Net Income","(188.96)","(106.50)","7,556.02","6,323.91","(19,784.45)","2,010.77","8,346.29","1,694.76","(11,905.75)","9,164.01"
"5","Cash & Short-Term Investments","414.87","1,592.06","24,073.34","16,130.14","11,088.10","11,815.59","14,578.77","22,511.41","23,527.52","22,343.63"
"6","Cash Only","311.94","70.70","22,273.00","8,920.25","3,919.05","5,216.68","10,851.63","9,167.39","8,874.86","7,370.51"
"7","Total Accounts Receivables","177.99","411.53","14,629.44","21,587.63","22,155.84","16,024.78","19,521.48","17,088.69","9,665.51","23,055.52"
"8","Inventories","11.22","7.86","53,053.79","47,478.98","35,006.05","33,694.65","65,505.99","65,999.00","50,272.95","57,561.22"
"9","Net Property, Plant & Equipment","139.47","90.26","43,400.45","65,453.36","80,114.30","78,457.15","78,801.45","83,385.13","86,775.09","91,634.01"
"10","Accrued Payable","-","-","-","-","3,090.60","6,465.64","3,111.11","5,755.25","-","-"
"11","Short Term Debt","-","-","20,351.89","6,881.68","1,510.88","5,573.46","8,341.47","8,466.84","8,773.54","9,483.15"
"12","Long Term Debt","-","-","835.23","11,485.96","11,385.05","10,170.64","9,033.83","9,609.23","20,802.32","18,440.21"
"13","Net Operating Cash Flow","(415.55)","(641.62)","(2,128.07)","7,895.48","(2,503.99)","13,879.02","(327.43)","6,755.77","(9,207.22)","5,509.70"
"14","Capital Expenditures","(41.11)","(0.63)","(3,688.57)","(12,834.56)","(8,201.95)","(3,347.57)","(4,196.23)","(6,737.01)","(5,349.87)","(4,910.67)"
"15","Total Shares Outstanding (million)","105,269.00","115,796.00","1,014,695.49","1,124,788.21","1,231,834.53","1,231,834.53","1,377,930.57","1,514,731.11","1,817,606.11","536,784.89"
