"1","Financial Year","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       Other","30-09-2021       Other","31-12-2021       Other"
"2","Sales/Revenue","12,858.00","4,448.00","1,802.00","6,724.13","6,587.00","3,585.00","1,356.00","7,591.00","19,405.00","29,168.00"
"3","Pretax Income","(6,235.00)","(9,013.00)","(28,557.00)","(27,505.81)","(5,640.00)","(7,413.00)","(3,793.00)","(7,445.00)","348.00","(17,765.00)"
"4","Net Income","(6,235.00)","(9,013.00)","(28,557.00)","(23,357.45)","(5,641.00)","(7,413.00)","(3,793.00)","(7,445.00)","348.00","(19,580.00)"
"5","Cash & Short-Term Investments","684.00","358.00","1,606.00","4,087.00","4,822.00","2,977.00","1,270.00","481.00","279.00","2,288.00"
"6","Cash Only","684.00","358.00","1,606.00","4,087.00","4,822.00","2,977.00","1,270.00","481.00","279.00","2,288.00"
"7","Total Accounts Receivables","16,339.00","7,513.00","8,560.00","8,167.00","10,142.00","6,859.00","4,294.00","10,882.00","10,673.00","11,039.00"
"8","Inventories","11,566.00","7,516.00","7,597.00","7,198.00","7,104.00","7,003.00","7,323.00","9,766.00","13,348.00","20,354.00"
"9","Net Property, Plant & Equipment","330,781.00","324,199.00","317,982.00","298,282.00","286,281.00","279,107.00","271,887.00","266,337.00","265,837.00","274,291.00"
"10","Accrued Payable","66,662.00","53,114.00","54,611.00","63,352.00","58,997.00","53,311.00","45,474.00","51,068.00","50,891.00","70,816.00"
"11","Short Term Debt","23,430.00","23,590.00","23,755.00","24,484.00","24,609.00","25,256.00","25,661.00","23,367.00","25,360.00","26,610.00"
"12","Long Term Debt","10,429.00","10,429.00","10,429.00","10,429.00","11,125.00","11,125.00","11,125.00","11,125.00","11,631.00","12,008.00"
"13","Net Operating Cash Flow","(4,626.00)","(3,319.00)","821.00","3,936.00","(7,396.00)","(4,562.00)","(2,258.00)","(8,474.00)","(9,301.00)","5,466.00"
"14","Capital Expenditures","-","-","(505.00)","(5,968.00)","-","(114.00)","(5.00)","(578.00)","(1,065.00)","(5,535.00)"
"15","Total Shares Outstanding (million)","3,838,990.00","3,838,990.00","3,838,990.00","4,107,423.00","4,504,825.68","4,504,825.68","4,504,825.68","499,621.57","499,580.39","540,529.68"
