"1","Financial Year","30-06-2019       1","30-09-2019       2","31-12-2019       3","31-03-2020       4","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       Other","30-06-2021       Other","30-09-2021       1"
"2","Sales/Revenue","17,715.00","25,351.00","23,864.00","21,537.00","21,934.00","35,288.00","27,651.00","18,924.00","31,074.00","49,846.00"
"3","Pretax Income","(3,915.00)","2,007.00","2,093.00","(8,657.00)","4,023.00","7,392.00","3,839.00","2,888.00","5,919.00","15,008.00"
"4","Net Income","(2,379.00)","989.00","655.00","(5,599.00)","2,193.00","3,944.00","1,276.00","2,424.00","3,023.00","7,988.00"
"5","Cash & Short-Term Investments","8,987.00","6,256.00","4,607.00","5,991.00","9,153.00","25,456.00","20,086.00","43,169.00","43,386.00","49,332.00"
"6","Total Accounts Receivables","9,033.00","10,885.00","13,568.00","17,238.00","20,896.00","17,467.00","16,530.00","29,556.00","21,698.00","35,090.00"
"7","Inventories","6,221.00","7,763.00","7,423.00","6,681.00","5,371.00","7,069.00","2,756.00","9,272.00","17,568.00","31,916.00"
"8","Net Property, Plant & Equipment","329,318.00","330,688.00","330,212.00","322,518.00","349,097.00","349,648.00","349,336.00","348,066.00","345,080.00","343,890.00"
"9","Accrued Payable","-","-","-","-","-","-","-","-","27,626.00","23,721.00"
"10","Short Term Debt","21,310.00","23,003.00","20,382.00","20,077.00","30,004.00","34,440.00","27,422.00","32,195.00","24,791.00","56,323.00"
"11","Long Term Debt","81,032.00","77,203.00","75,324.00","88,559.00","106,827.00","103,863.00","99,381.00","100,339.00","94,941.00","89,103.00"
"12","Net Operating Cash Flow","(3,076.00)","4,869.00","6,967.00","(4,931.00)","5,467.00","9,369.00","10,886.00","(14,262.00)","3,573.00","(15,136.00)"
"13","Capital Expenditures","(2,105.00)","(2,818.00)","(2,444.00)","(1,790.00)","(22,954.00)","(1,922.00)","(2,669.00)","(1,564.00)","(3,319.00)","(1,695.00)"
"14","Total Shares Outstanding (million)","350,700.00","350,700.00","350,700.00","350,700.00","350,700.00","350,700.00","363,200.00","399,656.00","399,656.00","399,656.00"
