"1","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020       TTM"
"2","Sales/Revenue","88,325.00","138,602.22","152,041.11","185,892.02","315,902.94","401,512.93","492,189.00","457,221.00","473,369.00","473,093.00"
"3","Pretax Income","12,330.00","19,043.17","21,158.78","23,756.55","37,332.51","41,698.97","45,002.00","44,212.00","39,861.00","35,893.00"
"4","Net Income","8,523.00","13,148.14","13,581.85","15,586.67","24,754.77","26,573.69","24,629.00","24,276.00","28,275.00","25,621.00"
"5","Cash & Short-Term Investments","11,004.00","18,603.89","24,921.49","74,215.61","163,862.24","129,510.63","118,884.00","76,689.00","133,352.00","84,754.25"
"6","Cash Only","9,749.00","11,473.38","16,694.64","-","26,596.95","113,654.30","77,388.00","54,181.00","-","79,881.50"
"7","Total Accounts Receivables","28,563.00","54,158.17","57,748.96","95,960.18","170,242.01","242,676.67","276,694.00","279,691.00","323,309.00","314,963.25"
"8","Inventories","8,859.00","13,102.80","18,200.76","23,873.30","30,935.26","50,368.20","70,791.00","72,422.00","66,244.00","69,076.75"
"9","Net Property, Plant & Equipment","14,873.00","35,254.72","68,199.82","64,468.87","87,988.50","268,548.03","383,457.00","463,043.00","698,414.00","745,132.75"
"10","Accrued Payable","-","-","23,469.30","21,490.80","41,176.15","74,815.28","84,507.00","89,676.00","144,116.00","136,002.25"
"11","Short Term Debt","20,515.00","25,283.65","40,924.28","32,209.00","48,618.60","81,843.18","268,159.00","171,418.00","247,372.00","233,554.75"
"12","Long Term Debt","6,966.00","17,965.21","19,511.53","32,279.72","41,030.35","65,214.02","180,134.00","324,236.00","409,128.00","390,457.75"
"13","Net Operating Cash Flow","938.00","(8,222.67)","16,496.64","(4,929.49)","(29,945.45)","(31,038.52)","5,771.00","45,388.00","170,968.00","185,001.00"
"14","Capital Expenditures","(882.00)","(6,572.04)","(34,271.45)","(4,735.87)","(22,569.51)","(127,414.45)","(81,411.00)","(108,211.00)","(112,240.00)","(105,595.00)"
"15","Total Shares Outstanding (million)","443,334.00","443,334.00","487,667.45","602,710.12","792,241.36","871,465.46","871,473.00","871,473.00","958,573.00","1,054,431.01"
