"1","Financial Year","31-12-2018       2","31-03-2019       3","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3"
"2","Sales/Revenue","39,709.00","40,562.00","42,230.33","48,092.00","45,796.00","44,959.00","42,483.22","52,499.00","55,803.00","52,172.00"
"3","Pretax Income","7,428.00","5,419.00","7,402.32","9,284.00","9,104.00","7,369.00","4,915.10","9,164.00","9,803.00","8,007.00"
"4","Net Income","6,153.00","4,083.00","4,789.51","6,423.00","6,159.00","5,073.00","4,396.90","6,776.00","6,932.00","6,011.00"
"5","Cash & Short-Term Investments","39,803.00","40,593.00","40,505.66","44,370.00","44,362.00","38,890.00","29,116.00","29,187.00","28,852.00","31,611.00"
"6","Cash Only","26,084.00","26,745.00","25,536.26","29,303.00","29,174.00","9,753.00","5,707.00","6,677.00","6,218.00","3,370.00"
"7","Total Accounts Receivables","53,257.00","48,608.00","52,259.01","51,391.00","53,905.00","58,466.00","62,512.00","65,877.00","67,929.00","65,566.00"
"8","Net Property, Plant & Equipment","8,377.00","8,925.00","8,491.79","20,456.00","17,290.00","17,116.00","18,145.00","15,008.00","12,551.00","49,927.00"
"9","Accrued Payable","11,421.00","10,200.00","12,449.46","10,535.00","10,132.00","10,172.00","11,181.00","11,529.00","11,716.00","10,635.00"
"10","Short Term Debt","-","-","-","9,597.00","9,798.00","8,586.00","6,283.00","4,199.00","1,424.00","7,541.00"
"11","Long Term Debt","-","-","-","3,635.00","1,106.00","2,111.00","2,032.00","1,638.00","1,349.00","33,513.00"
"12","Net Operating Cash Flow","(2,525.00)","8,544.00","5,501.79","10,689.00","8,445.00","4,568.00","2,407.00","8,176.00","10,408.00","11,393.00"
"13","Capital Expenditures","(1,398.00)","(2,481.00)","(1,666.58)","(601.00)","(516.00)","(1,939.00)","(6,106.00)","(1,896.00)","(2,120.00)","(708.00)"
"14","Total Shares Outstanding (million)","355,453.56","355,454.00","355,453.56","355,453.56","355,453.56","355,453.56","355,453.56","355,453.56","355,453.56","355,453.56"
