"1","Financial Year","30-09-2012","30-09-2013","30-09-2014","30-09-2015","31-03-2017","30-09-2018","30-09-2019","31-12-2019","31-12-2020","31-12-2021"
"2","Sales/Revenue","12,613.82","11,561.26","8,800.39","6,055.55","14,926.00","4,215.11","6,713.00","7,023.59","13,080.00","23,413.00"
"3","Pretax Income","(207.50)","(2,550.88)","(5,158.89)","(5,403.74)","499.57","(6,495.97)","(11,771.00)","(17,199.42)","(13,942.00)","(36,655.00)"
"4","Net Income","(201.88)","(2,467.26)","(5,112.01)","(5,371.50)","501.63","(6,915.24)","(11,673.00)","(17,086.79)","(13,623.00)","(29,178.00)"
"5","Cash & Short-Term Investments","3,655.15","1,770.56","3,992.81","27,732.62","15,282.66","36,144.92","19,602.00","20,170.18","28,553.00","123,178.00"
"6","Cash Only","2,923.35","1,134.91","3,989.33","11,809.77","14,791.65","-","17,705.00","-","-","19,843.00"
"7","Total Accounts Receivables","2,003.39","2,026.69","1,355.96","6,648.60","14,466.00","5,327.56","18,787.00","14,541.87","12,800.00","17,804.00"
"8","Inventories","1,274.13","1,716.67","499.29","6,837.11","6,447.84","4,275.59","38.00","37.10","444.00","2,320.00"
"9","Net Property, Plant & Equipment","365.32","436.91","153.88","1,356.65","3,528.14","712.30","1,806.00","1,738.31","200,964.00","198,771.00"
"10","Accrued Payable","-","-","604.59","885.38","1,286.97","489.25","2,464.00","-","-","-"
"11","Short Term Debt","561.37","596.35","-","-","-","-","-","71.87","13,231.00","14,097.00"
"12","Long Term Debt","-","165.79","-","-","-","-","-","306.47","149,664.00","143,643.00"
"13","Net Operating Cash Flow","2,734.64","(1,261.31)","(1,362.64)","(10,660.75)","(4,979.02)","10,238.31","(13,322.00)","(16,069.81)","(11,617.00)","(22,984.00)"
"14","Capital Expenditures","(10.76)","(248.45)","(42.17)","(1,369.91)","(3,050.00)","(3,653.34)","(1,471.00)","(1,541.36)","(4,000.00)","(9,315.00)"
"15","Total Shares Outstanding (million)","133,467.00","133,467.11","190,167.30","489,000.00","489,000.00","756,171.92","756,171.92","779,253.87","186,935.57","1,621,928.67"
