"1","Financial Year","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       Other","31-03-2021       Other","30-04-2021       Other","31-07-2021       1","31-10-2021       2","31-01-2022       3"
"2","Sales/Revenue","34,378.00","48,175.00","53,267.00","96,092.00","90,527.00","78,936.00","25,124.00","119,887.00","121,165.00","114,456.00"
"3","Pretax Income","(5,599.00)","1,954.00","(1,699.00)","2.00","(21,227.00)","(8,341.00)","(1,179.00)","(175.00)","(669.00)","1,932.00"
"4","Net Income","(5,111.00)","1,169.00","(1,869.00)","(773.00)","(20,924.00)","(8,423.00)","(1,151.00)","(689.00)","(1,266.00)","1,022.00"
"5","Cash & Short-Term Investments","8,659.00","10,149.00","16,341.00","20,540.00","25,474.00","16,225.00","22,785.00","18,840.00","10,641.00","19,382.00"
"6","Cash Only","8,559.00","10,049.00","16,241.00","20,440.00","25,374.00","16,125.00","22,685.00","18,740.00","10,541.00","19,282.00"
"7","Total Accounts Receivables","21,256.00","30,387.00","31,635.00","28,687.00","27,297.00","27,589.00","23,855.00","47,205.00","38,638.00","22,527.00"
"8","Inventories","31,303.00","34,185.00","48,350.00","49,638.00","49,237.00","66,860.00","83,520.00","72,807.00","75,227.00","80,438.00"
"9","Net Property, Plant & Equipment","34,027.00","34,744.00","34,759.00","33,443.00","42,777.00","42,505.00","41,745.00","42,630.00","41,954.00","41,623.00"
"10","Short Term Debt","13,238.00","20,348.00","21,420.00","16,147.00","22,413.00","22,690.00","28,118.00","28,256.00","27,401.00","28,741.00"
"11","Long Term Debt","5,439.00","5,318.00","5,531.00","5,538.00","5,443.00","5,302.00","5,240.00","5,194.00","5,143.00","5,043.00"
"12","Net Operating Cash Flow","4,081.00","(4,737.00)","365.00","6,812.00","(1,682.00)","(31,206.00)","1,584.00","(7,904.00)","(6,488.00)","3,923.00"
"13","Capital Expenditures","(67.00)","(416.00)","(1,099.00)","(281.00)","(489.00)","(2,458.00)","(117.00)","(1,083.00)","(1,081.00)","(577.00)"
"14","Total Shares Outstanding (million)","459,738.00","459,738.00","512,307.54","526,662.28","526,662.28","598,691.89","598,692.00","619,562.89","619,562.89","638,869.89"
