"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018"
"2","Sales/Revenue","526,770.00","546,762.00","566,185.00","564,540.00","577,009.00","656,061.00","702,576.00","654,787.00","549,112.00","554,777.00"
"3","Pretax Income","87,160.00","152,270.00","132,291.00","119,319.00","121,044.00","136,322.00","119,818.00","67,509.00","1,641.00","(28,304.00)"
"4","Net Income","67,125.00","132,408.00","103,158.00","91,887.00","93,903.00","105,043.00","91,260.00","50,331.00","1,011.00","(21,802.00)"
"5","Cash & Short-Term Investments","355,726.00","436,904.00","494,529.00","465,577.00","400,458.00","303,820.00","242,263.00","222,550.00","132,832.00","60,534.00"
"6","Cash Only","15,556.00","24,887.00","24,974.00","20,955.00","17,417.00","32,000.00","41,743.00","39,410.00","40,432.00","16,004.00"
"7","Total Accounts Receivables","69,254.00","72,563.00","82,886.00","59,902.00","76,353.00","93,987.00","105,478.00","114,150.00","106,455.00","115,844.00"
"8","Inventories","112,542.00","115,222.00","89,164.00","101,675.00","106,871.00","101,905.00","97,907.00","100,621.00","130,072.00","130,335.00"
"9","Net Property, Plant & Equipment","361,276.00","350,861.00","348,886.00","334,481.00","319,251.00","306,688.00","291,793.00","262,067.00","242,578.00","243,536.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","-"
"11","Short Term Debt","3,747.00","4,127.00","6,195.00","3,843.00","-","-","-","-","-","-"
"12","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"13","Net Operating Cash Flow","142,266.00","164,614.00","184,796.00","117,075.00","103,605.00","141,066.00","128,367.00","75,220.00","23,557.00","(17,999.00)"
"14","Capital Expenditures","(37,628.00)","(35,758.00)","(42,740.00)","(30,645.00)","(33,187.00)","(34,376.00)","(35,777.00)","(20,056.00)","(29,525.00)","(37,243.00)"
"15","Total Shares Outstanding (million)","124,061.00","123,621.00","123,621.00","121,143.00","121,143.00","121,143.00","121,143.00","121,142.70","121,142.70","121,142.70"
