"1","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","30-06-2018","30-06-2019","30-06-2020       TTM","30-06-2020       TTM"
"2","Sales/Revenue","7,518.14","9,337.88","10,047.73","29,181.35","56,738.75","56,877.02","22,577.73","11,936.69","11,238.00","11,238.00"
"3","Pretax Income","2,966.14","(2,878.16)","(391.78)","(1,269.05)","(3,399.20)","1,129.15","(17,789.73)","(16,931.83)","(2,677.00)","(2,677.00)"
"4","Net Income","2,753.47","(2,905.92)","(418.96)","(1,762.03)","(3,591.22)","1,128.67","(18,472.79)","(16,949.15)","(2,647.00)","(2,647.00)"
"5","Cash & Short-Term Investments","19,021.31","14,929.80","8,008.34","8,240.08","7,048.70","8,310.04","9,571.55","5,326.68","3,645.25","3,645.25"
"6","Total Accounts Receivables","5,135.64","4,260.81","4,178.86","19,774.78","18,285.13","19,541.00","7,436.57","3,832.61","3,626.50","3,626.50"
"7","Inventories","40.09","113.75","103.69","140.05","285.58","173.57","72.66","4,408.35","5,559.75","5,559.75"
"8","Net Property, Plant & Equipment","1,580.26","5,381.23","9,994.16","10,895.71","11,005.84","12,634.41","12,241.83","12,410.03","11,000.25","11,000.25"
"9","Accrued Payable","400.89","468.48","464.28","3,403.58","6,971.43","7,939.59","4,309.17","5,805.08","3,779.00","3,779.00"
"10","Short Term Debt","1,083.69","1,074.67","1,043.85","253.91","740.99","826.40","2,101.46","1,218.03","847.75","847.75"
"11","Long Term Debt","269.33","1,869.32","6,521.00","6,862.45","6,377.68","7,195.61","4,282.40","3,895.24","3,610.00","3,610.00"
"12","Net Operating Cash Flow","(502.81)","(1,615.04)","(1,136.27)","(4,049.43)","(2,877.81)","1,671.78","466.42","2,357.96","(370.00)","(370.00)"
"13","Capital Expenditures","(134.72)","(4,070.15)","(4,885.77)","(890.22)","(360.91)","(1,332.91)","(215.90)","(731.02)","(11.00)","(11.00)"
"14","Total Shares Outstanding (million)","236,667.00","236,667.00","118,333.33","212,462.18","247,462.18","247,462.18","271,962.18","271,962.18","271,962.18","247,462.18"
